"","incident_case_id","date","clearance_code_inc_type","pgpd_reporting_area","pgpd_sector","pgpd_beat","street_number","street_name","latitude","longitude","location"
"1","PP23070100000003","07/01/2023","ACCIDENT WITH IMPOUND",236,"B","B4",NA,"VETERANS PKWY NB / ANNAPOLIS RD WB",38.95161956549,-76.88532377779,"(38.95161956548691,-76.88532377779484)"
"2","PP23070100000142","07/01/2023","ACCIDENT",627,"W","W4","10800 BLOCK","INDIAN HEAD HWY NB",38.74394281209,-76.99195086956,"(38.74394281208515,-76.99195086956024)"
"3","PP23070100000314","07/01/2023","THEFT FROM AUTO",406,"G","G7","200 BLOCK","WESTHAMPTON AVE",38.88698714972,-76.86498260498,"(38.886987149715424,-76.86498260498047)"
"4","PP23070100000567","07/01/2023","AUTO, STOLEN & RECOVERED",605,"K","K6","5900 BLOCK","FISHER RD",38.80791905522,-76.95618978143,"(38.807919055223465,-76.95618978142738)"
"5","PP23070100000575","07/01/2023","B & E, COMMERCIAL",434,"H","H3","2700 BLOCK","LORRING DR",38.85056988895,-76.88269911706,"(38.850569888949394,-76.88269911706448)"
"6","PP23070100000601","07/01/2023","THEFT FROM AUTO",633,"F","F4","9200 BLOCK","PINE VIEW LN",38.7632997334,-76.88794843853,"(38.763299733400345,-76.8879484385252)"
"7","PP23070100000631","07/01/2023","THEFT FROM AUTO",443,"K","K4","4400 BLOCK","TELFAIR BLVD",38.82891640067,-76.91124236584,"(38.828916400671005,-76.9112423658371)"
"8","PP23070100000635","07/01/2023","AUTO, STOLEN & RECOVERED",125,"A","A3","500 BLOCK","GREENLAWN DR",38.96572715044,-77.00015294552,"(38.965727150440216,-77.0001529455185)"
"9","PP23070100000699","07/01/2023","B & E, RESIDENTIAL",430,"K","K3","3800 BLOCK","SAINT BARNABAS RD SB",38.83679039776,-76.94109794497,"(38.83679039776325,-76.9410979449749)"
"10","PP23070100000746","07/01/2023","AUTO, STOLEN",911,"C","C6","14400 BLOCK","BONNETT LN",39.08875839412,-76.88926078379,"(39.088758394122124,-76.88926078379154)"
"11","PP23070100000923","07/01/2023","THEFT FROM AUTO",135,"A","A2","5800 BLOCK","RIGGS RD NB",38.96146206558,-76.99654403329,"(38.96146206557751,-76.99654403328896)"
"12","PP23070100000962","07/01/2023","THEFT FROM AUTO",603,"J","J5","6400 BLOCK","OXON HILL RD NB",38.80201356113,-76.99588786066,"(38.80201356112957,-76.99588786065578)"
"13","PP23070100000977","07/01/2023","ASSAULT",628,"W","W4","11500 BLOCK","OLD FORT RD",38.7331160605,-76.97554670274,"(38.73311606049538,-76.97554670274258)"
"14","PP23070100000996","07/01/2023","THEFT",856,"E","E2","2300 BLOCK","BROOKE GROVE RD",38.92143589258,-76.83709552884,"(38.92143589258194,-76.83709552884102)"
"15","PP23070100000999","07/01/2023","THEFT FROM AUTO",408,"H","H1","1200 BLOCK","GLACIER AVE",38.87320764363,-76.92633420229,"(38.87320764362812,-76.92633420228958)"
"16","PP23070100001036","07/01/2023","AUTO, STOLEN",307,"G","G6","6800 BLOCK","WEST FOREST RD",38.92406055331,-76.89090119302,"(38.9240605533123,-76.89090119302273)"
"17","PP23070100001072","07/01/2023","B & E, COMMERCIAL",633,"F","F4","9000 BLOCK","STUART LN",38.76592439413,-76.88630802929,"(38.76592439413071,-76.88630802929401)"
"18","PP23070100001079","07/01/2023","ACCIDENT WITH IMPOUND",101,"A","A7",NA,"RIGGS RD / HUGHES RD",39.0070656389,-76.96636036038,"(39.0070656388998,-76.96636036038399)"
"19","PP23070100001094","07/01/2023","THEFT",504,"K","K1","4200 BLOCK","21S AVE",38.8315410614,-76.96406377852,"(38.83154106140137,-76.96406377851963)"
"20","PP23070100001171","07/01/2023","SEX OFFENSE",159,"C","B7","9800 BLOCK","47TH AVE",39.01526772976,-76.93256777525,"(39.015267729759216,-76.93256777524948)"
"21","PP23070100001388","07/01/2023","AUTO, STOLEN",524,"J","J1","5100 BLOCK","INDIAN HEAD HWY SB",38.81808964908,-77.00376185775,"(38.81808964908123,-77.00376185774803)"
"22","PP23070100001399","07/01/2023","ACCIDENT",642,"W","W6","16400 BLOCK","MCKENDREE RD",38.66454663873,-76.87580935657,"(38.66454663872719,-76.87580935657024)"
"23","PP23070100001637","07/01/2023","ACCIDENT WITH IMPOUND",763,"F","F7",NA,"AQUASCO RD / ORME RD",38.64289315045,-76.76524527371,"(38.6428931504488,-76.7652452737093)"
"24","PP23070100001685","07/01/2023","AUTO, STOLEN",226,"B","B5","6200 BLOCK","67TH CT",38.96375864744,-76.90271219611,"(38.963758647441864,-76.90271219611168)"
"25","PP23070100001703","07/01/2023","ACCIDENT",754,"F","F7","16000 BLOCK","CRAIN HWY SE",38.67012405396,-76.87220044434,"(38.67012405395508,-76.8722004443407)"
"26","PP23070100001716","07/01/2023","ACCIDENT WITH IMPOUND",936,"C","C2","2800 BLOCK","POWDER MILL RD",39.02773489058,-76.96275144815,"(39.02773489058018,-76.96275144815445)"
"27","PP23070100001724","07/01/2023","ACCIDENT",638,"W","W4",NA,"FLORAL PARK RD / PISCATAWAY RD",38.70293238759,-76.96668843925,"(38.70293238759041,-76.96668843924999)"
"28","PP23070100001767","07/01/2023","THEFT FROM AUTO",125,"A","A3","5900 BLOCK","RIGGS RD SB",38.96244631708,-76.99359127879,"(38.96244631707668,-76.99359127879143)"
"29","PP23070100001796","07/01/2023","AUTO, STOLEN",308,"G","G6","2400 BLOCK","KENT VILLAGE DR",38.92307631671,-76.88499569893,"(38.92307631671429,-76.88499569892883)"
"30","PP23070100001890","07/01/2023","THEFT",904,"C","C5","13300 BLOCK","FINSBURY CT",39.07399463654,-76.85218736529,"(39.073994636535645,-76.8521873652935)"
"31","PP23070100001980","07/01/2023","HOMICIDE",827,"D","D2","9800 BLOCK","GOOD LUCK RD EB",38.98442789912,-76.8403763622,"(38.98442789912224,-76.84037636220455)"
"32","PP23070100002202","07/01/2023","ROBBERY, OTHER",235,"B","B4","6800 BLOCK","FARRAGUT ST",38.95161956549,-76.89746285975,"(38.95161956548691,-76.8974628597498)"
"33","PP23070100002256","07/01/2023","ACCIDENT WITH IMPOUND",408,"H","H1","4600 BLOCK","HEATH ST",38.87550422549,-76.92797461152,"(38.87550422549248,-76.92797461152077)"
"34","PP23070100002257","07/01/2023","ASSAULT",441,"H","H2","5800 BLOCK","SILVER HILL RD SB",38.85680347681,-76.90632110834,"(38.856803476810455,-76.90632110834122)"
"35","PP23070100002397","07/01/2023","ACCIDENT",156,"A","A4",NA,"UNIVERSITY BLVD WB / LEBANON ST",38.99131764472,-76.98998236656,"(38.99131764471531,-76.98998236656189)"
"36","PP23070100002738","07/01/2023","ASSAULT",313,"G","G4","7900 BLOCK","HOMEFIELD DR",38.89650155604,-76.86891961098,"(38.89650155603886,-76.86891961097717)"
"37","PP23070100002766","07/01/2023","AUTO, STOLEN & RECOVERED",429,"K","K2","3300 BLOCK","ANDOVER PL",38.84466439486,-76.94897194207,"(38.8446643948555,-76.94897194206715)"
"38","PP23070100000099","07/01/2023","ROBBERY, VEHICLE",205,"B","B7","4800 BLOCK","DELAWARE ST",39.0050971508,-76.92928694189,"(39.00509715080261,-76.92928694188595)"
"39","PP23070100000295","07/01/2023","ACCIDENT WITH IMPOUND",904,"C","C5",NA,"CHERRY LN EB / LAUREL BOWIE RD NB",39.08514948189,-76.8472661078,"(39.085149481892586,-76.84726610779762)"
"40","PP23070100000384","07/01/2023","AUTO, STOLEN",243,"B","B2","5000 BLOCK","JACKSON ST",38.93062222004,-76.93059927225,"(38.93062222003937,-76.93059927225113)"
"41","PP23070100000494","07/01/2023","ACCIDENT",512,"J","J2",NA,"OWENS RD / WHEELER RD",38.81710539758,-76.96406377852,"(38.817105397582054,-76.96406377851963)"
"42","PP23070100000531","07/01/2023","THEFT FROM AUTO",239,"B","B3","5600 BLOCK","HAMILTON ST",38.95129147172,-76.91977253556,"(38.95129147171974,-76.91977253556252)"
"43","PP23070100000539","07/01/2023","ACCIDENT WITH IMPOUND",307,"G","G6",NA,"PINEBROOK AVE / HAWTHORNE ST",38.92570097744,-76.89155736566,"(38.92570097744465,-76.8915573656559)"
"44","PP23070100000561","07/01/2023","AUTO, STOLEN",827,"D","D2","9700 BLOCK","GOOD LUCK RD",38.98377172649,-76.84201678634,"(38.98377172648907,-76.8420167863369)"
"45","PP23070100000947","07/01/2023","AUTO, STOLEN",413,"H","H7","1700 BLOCK","RITCHIE STATION CT",38.8666459769,-76.8502188623,"(38.866645976901054,-76.85021886229515)"
"46","PP23070100001023","07/01/2023","ACCIDENT",308,"G","G6","2500 BLOCK","FIRE HOUSE RD",38.92471672595,-76.8804025352,"(38.92471672594547,-76.88040253520012)"
"47","PP23070100001061","07/01/2023","AUTO, STOLEN",769,"K","K4","6200 BLOCK","MAXWELL DR",38.81644922495,-76.89746285975,"(38.81644922494888,-76.8974628597498)"
"48","PP23070100001077","07/01/2023","ACCIDENT",260,"B","B2","5400 BLOCK","ANNAPOLIS RD EB",38.93849623203,-76.92239719629,"(38.938496232032776,-76.92239719629288)"
"49","PP23070100001111","07/01/2023","AUTO, STOLEN",622,"F","F1","4400 BLOCK","CIMARRON LN",38.77675114572,-76.93486435711,"(38.77675114572048,-76.93486435711384)"
"50","PP23070100001147","07/01/2023","ACCIDENT WITH IMPOUND",259,"G","B1",NA,"KENILWORTH AVE NB / JOHN HANSON HWY WB",38.91881123185,-76.93223969638,"(38.91881123185158,-76.93223969638348)"
"51","PP23070100001159","07/01/2023","ACCIDENT",711,"E","E5",NA,"HUMBERSIDE WAY / GALESHEAD DR",38.85253839195,-76.7370301187,"(38.852538391947746,-76.73703011870384)"
"52","PP23070100001228","07/01/2023","ACCIDENT WITH IMPOUND",836,"D","D1","9300 BLOCK","LANHAM SEVERN RD",38.9699922204,-76.85185927153,"(38.969992220401764,-76.85185927152634)"
"53","PP23070100001267","07/01/2023","AUTO, STOLEN",429,"K","K2","3300 BLOCK","CURTIS DR",38.84794522822,-76.94733153284,"(38.84794522821903,-76.94733153283596)"
"54","PP23070100001362","07/01/2023","THEFT FROM AUTO",701,"E","E3","200 BLOCK","HARRY S TRUMAN DR SB",38.88698714972,-76.83578319848,"(38.886987149715424,-76.83578319847584)"
"55","PP23070100001454","07/01/2023","ACCIDENT WITH IMPOUND",429,"K","K2",NA,"SILVER HILL RD NB / BRANCH AVE NB",38.83941505849,-76.94634728134,"(38.839415058493614,-76.94634728133678)"
"56","PP23070100001467","07/01/2023","THEFT FROM AUTO",619,"K","K6","7700 BLOCK","DEN MEADE AVE",38.78265663981,-76.96111102402,"(38.78265663981438,-76.9611110240221)"
"57","PP23070100001644","07/01/2023","ACCIDENT WITH IMPOUND",732,"F","F3",NA,"WOODYARD RD / GREEN ST",38.77904772758,-76.85842093825,"(38.77904772758484,-76.8584209382534)"
"58","PP23070100001653","07/01/2023","THEFT",416,"H","H2","5000 BLOCK","MARLBORO PIKE EB",38.86992681026,-76.92174102366,"(38.86992681026459,-76.9217410236597)"
"59","PP23070100001751","07/01/2023","ACCIDENT",510,"K","K5",NA,"SAINT BARNABAS RD NB / CLIFTON RD",38.82661980391,-76.94503495097,"(38.82661980390549,-76.9450349509716)"
"60","PP23070100001764","07/01/2023","AUTO, STOLEN",305,"G","G3",NA,"SHERIFF RD / CLAYBRICK RD",38.9066721499,-76.90500877798,"(38.90667214989662,-76.90500877797604)"
"61","PP23070100001836","07/01/2023","ACCIDENT",104,"A","A7","9000 BLOCK","RIGGS RD",39.00345672667,-76.97193777561,"(39.003456726670265,-76.97193777561188)"
"62","PP23070100002030","07/01/2023","ACCIDENT",306,"G","G6",NA,"MLK HWY EB / SHERIFF RD",38.90962488949,-76.89155736566,"(38.90962488949299,-76.8915573656559)"
"63","PP23070100002033","07/01/2023","THEFT",624,"F","F2","8800 BLOCK","BRANCH AVE SB",38.7672367245,-76.89024503529,"(38.76723672449589,-76.89024503529072)"
"64","PP23070100002103","07/01/2023","ACCIDENT",615,"K","K6","7700 BLOCK","ALLENTOWN RD",38.78298473358,-76.94339452684,"(38.78298473358154,-76.94339452683926)"
"65","PP23070100002253","07/01/2023","AUTO, STOLEN",135,"A","A2","5400 BLOCK","16TH AVE",38.95490039885,-76.98210836947,"(38.95490039885044,-76.98210836946964)"
"66","PP23070100002311","07/01/2023","THEFT",415,"H","H2","4800 BLOCK","MARLBORO PIKE EB",38.87287956476,-76.92895886302,"(38.872879564762115,-76.92895886301994)"
"67","PP23070100002340","07/01/2023","ACCIDENT",110,"A","A4","8100 BLOCK","15TH AVE",38.99000531435,-76.98145219684,"(38.99000531435013,-76.98145219683647)"
"68","PP23070100002390","07/01/2023","ACCIDENT",135,"A","A2","2100 BLOCK","INGRAHAM ST",38.95260381699,-76.97325010598,"(38.952603816986084,-76.97325010597706)"
"69","PP23070100002495","07/01/2023","ROBBERY, OTHER",843,"D","D5","10200 BLOCK","MARTIN LUTHER KING JUNIOR HWY EB",38.95522847772,-76.82823728025,"(38.955228477716446,-76.8282372802496)"
"70","PP23070100002563","07/01/2023","AUTO, STOLEN",429,"K","K2","3400 BLOCK","CURTIS DR",38.84827330709,-76.94634728134,"(38.84827330708504,-76.94634728133678)"
"71","PP23070100002645","07/01/2023","ACCIDENT WITH IMPOUND",113,"A","A3","7400 BLOCK","RIGGS RD SB",38.98311555386,-76.9798117727,"(38.983115553855896,-76.97981177270412)"
"72","PP23070100002758","07/01/2023","ACCIDENT WITH IMPOUND",628,"W","W4","12500 BLOCK","PISCATAWAY RD",38.71769614518,-76.96078294516,"(38.71769614517689,-76.9607829451561)"
"73","PP23070200000074","07/02/2023","ACCIDENT",755,"F","F7","15400 BLOCK","BRANDYWINE RD",38.67766997218,-76.80953653157,"(38.67766997218132,-76.80953653156757)"
"74","PP23070200000141","07/02/2023","ASSAULT",308,"G","G6","7200 BLOCK","HAWTHORNE ST",38.92438864708,-76.88105869293,"(38.92438864707947,-76.88105869293213)"
"75","PP23070200000535","07/02/2023","AUTO, STOLEN",429,"K","K2","3300 BLOCK","CURTIS DR",38.84794522822,-76.9486438632,"(38.84794522821903,-76.94864386320114)"
"76","PP23070200000538","07/02/2023","THEFT FROM AUTO",135,"A","A2","5400 BLOCK","16TH AVE",38.95490039885,-76.98210836947,"(38.95490039885044,-76.98210836946964)"
"77","PP23070200000593","07/02/2023","AUTO, STOLEN",125,"A","A3","700 BLOCK","CHILLUM RD WB",38.96507097781,-76.99884061515,"(38.965070977807045,-76.99884061515331)"
"78","PP23070200000680","07/02/2023","B & E, COMMERCIAL",919,"C","C1","12300 BLOCK","CONWAY RD",39.06021514535,-76.88466760516,"(39.0602151453495,-76.88466760516167)"
"79","PP23070200000731","07/02/2023","AUTO, STOLEN",738,"F","F5","10800 BLOCK","WACO DR",38.75870655477,-76.82626877725,"(38.75870655477047,-76.82626877725124)"
"80","PP23070200000890","07/02/2023","ACCIDENT WITH IMPOUND",843,"D","D5",NA,"MARTIN LUTHER KING JUNIOR HWY EB / ANNAPOLIS RD",38.95588465035,-76.82331602275,"(38.95588465034962,-76.82331602275372)"
"81","PP23070200001001","07/02/2023","AUTO, STOLEN",441,"H","H2","2100 BLOCK","BROOKS DR NB",38.86139664054,-76.91714785993,"(38.86139664053917,-76.91714785993099)"
"82","PP23070200001275","07/02/2023","THEFT FROM AUTO",738,"F","F5","9900 BLOCK","HUMMINGBIRD LN",38.75444146991,-76.82233178616,"(38.75444146990776,-76.8223317861557)"
"83","PP23070200001325","07/02/2023","THEFT",413,"H","H7","1700 BLOCK","RITCHIE STATION CT",38.86697405577,-76.85054694116,"(38.86697405576706,-76.85054694116116)"
"84","PP23070200001459","07/02/2023","ACCIDENT",175,"A","A5","6700 BLOCK","BELCREST RD",38.97130456567,-76.95389319956,"(38.971304565668106,-76.95389319956303)"
"85","PP23070200001506","07/02/2023","THEFT FROM AUTO",221,"B","B6","6800 BLOCK","DARTMOUTH AVE",38.97360114753,-76.93223969638,"(38.97360114753246,-76.93223969638348)"
"86","PP23070200001640","07/02/2023","THEFT",656,"J","J5","6000 BLOCK","OXON HILL RD SB",38.80496631563,-76.9798117727,"(38.8049663156271,-76.97981177270412)"
"87","PP23070200001648","07/02/2023","AUTO, STOLEN",618,"F","F1","7000 BLOCK","ALLENTOWN RD",38.7934833914,-76.92600610852,"(38.79348339140415,-76.92600610852242)"
"88","PP23070200001700","07/02/2023","AUTO, STOLEN",856,"E","E2","1900 BLOCK","GRAND WAY BLVD",38.91585847735,-76.8403763622,"(38.91585847735405,-76.84037636220455)"
"89","PP23070200001753","07/02/2023","AUTO, STOLEN",219,"B","B63","4500 BLOCK","COLLEGE AVE",38.98213131726,-76.93781711161,"(38.98213131725788,-76.93781711161137)"
"90","PP23070200001777","07/02/2023","ASSAULT, SHOOTING",238,"D","B5","7500 BLOCK","ANNAPOLIS RD EB",38.95063531399,-76.88565185666,"(38.95063531398773,-76.88565185666084)"
